PostIndex,TrueLabels,PredictedLabels,Precision,Recall,F1
1,"['Medical', 'Pregnancy', 'Sexual']","['Medical', 'Mental Health', 'Pregnancy']",0.667,0.667,0.667
2,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
3,"['Discrimination', 'Pregnancy']","['Medical', 'Pregnancy']",0.5,0.5,0.5
4,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
5,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
6,"['Pregnancy', 'Sexual']","['Medical', 'Pregnancy']",0.5,0.5,0.5
7,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
8,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
9,"['Abuse', 'Discrimination', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.5,0.667
10,"['Mental Health', 'Pregnancy']",['Pregnancy'],1.0,0.5,0.667
11,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
12,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
13,"['Abuse', 'Mental Health', 'Pregnancy']",['Mental Health'],1.0,0.333,0.5
14,['Pregnancy'],"['Medical', 'Pregnancy']",0.5,1.0,0.667
15,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
16,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
17,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
18,"['Medical', 'Pregnancy']",['Medical'],1.0,0.5,0.667
19,"['Mental Health', 'Pregnancy']","['Medical', 'Pregnancy']",0.5,0.5,0.5
20,['Pregnancy'],"['Medical', 'Pregnancy']",0.5,1.0,0.667
21,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
22,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
23,"['Abuse', 'Pregnancy', 'Sexual']",['Abuse'],1.0,0.333,0.5
24,"['Medical', 'Pregnancy', 'Sexual']","['Medical', 'Pregnancy', 'Sexual']",1.0,1.0,1.0
25,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
26,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
27,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
28,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
29,"['Medical', 'Pregnancy']",['Not Applicable'],0.0,0.0,0.0
30,"['Abuse', 'Mental Health', 'Pregnancy']",['Pregnancy'],1.0,0.333,0.5
31,"['Discrimination', 'Mental Health', 'Pregnancy']",['Pregnancy'],1.0,0.333,0.5
32,"['Medical', 'Mental Health', 'Pregnancy']",['Pregnancy'],1.0,0.333,0.5
33,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
34,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
35,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
36,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
37,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
38,"['Abuse', 'Mental Health', 'Pregnancy']",['Pregnancy'],1.0,0.333,0.5
39,"['Abuse', 'Medical', 'Mental Health', 'Pregnancy', 'Sexual']","['Abuse', 'Mental Health', 'Pregnancy']",1.0,0.6,0.75
40,"['Abuse', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
41,"['Abuse', 'Mental Health', 'Pregnancy']",['Not Applicable'],0.0,0.0,0.0
42,"['Abuse', 'Mental Health', 'Pregnancy']",['Mental Health'],1.0,0.333,0.5
43,"['Abuse', 'Medical', 'Mental Health', 'Pregnancy', 'Sexual']",['Not Applicable'],0.0,0.0,0.0
44,"['Abuse', 'Mental Health', 'Pregnancy']",['Mental Health'],1.0,0.333,0.5
45,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
46,['Not Applicable'],"['Discrimination', 'Pregnancy']",0.0,0.0,0.0
47,"['Medical', 'Mental Health', 'Pregnancy']",['Pregnancy'],1.0,0.333,0.5
48,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health']",1.0,0.667,0.8
49,"['Medical', 'Pregnancy']",['Not Applicable'],0.0,0.0,0.0
50,['Not Applicable'],['Medical'],0.0,0.0,0.0
51,"['Abuse', 'Mental Health']",['Not Applicable'],0.0,0.0,0.0
52,"['Abuse', 'Mental Health']","['Abuse', 'Aggression']",0.5,0.5,0.5
53,"['Abuse', 'Mental Health']","['Abuse', 'Sexual']",0.5,0.5,0.5
54,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",1.0,1.0,1.0
55,"['Abuse', 'Aggression', 'Mental Health']",['Abuse'],1.0,0.333,0.5
56,"['Abuse', 'Mental Health']",['Not Applicable'],0.0,0.0,0.0
57,"['Abuse', 'Mental Health', 'Sexual']",['Mental Health'],1.0,0.333,0.5
58,"['Abuse', 'Discrimination', 'Mental Health']",['Not Applicable'],0.0,0.0,0.0
59,"['Abuse', 'Mental Health', 'Sexual']",['Abuse'],1.0,0.333,0.5
60,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
61,"['Abuse', 'Discrimination', 'Mental Health']",['Not Applicable'],0.0,0.0,0.0
62,"['Abuse', 'Aggression', 'Discrimination', 'Mental Health', 'Sexual']","['Abuse', 'Aggression']",1.0,0.4,0.571
63,['Mental Health'],['Mental Health'],1.0,1.0,1.0
64,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
65,['Mental Health'],['Abuse'],0.0,0.0,0.0
66,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
67,"['Abuse', 'Aggression', 'Discrimination', 'Mental Health']","['Abuse', 'Sexual']",0.5,0.25,0.333
68,"['Abuse', 'Mental Health', 'Sexual']",['Mental Health'],1.0,0.333,0.5
69,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
70,"['Abuse', 'Mental Health']",['Abuse'],1.0,0.5,0.667
71,"['Abuse', 'Sexual']","['Abuse', 'Sexual']",1.0,1.0,1.0
72,"['Abuse', 'Mental Health']",['Abuse'],1.0,0.5,0.667
73,"['Abuse', 'Mental Health', 'Sexual']",['Mental Health'],1.0,0.333,0.5
74,"['Abuse', 'Discrimination', 'Mental Health']",['Abuse'],1.0,0.333,0.5
75,['Abuse'],"['Abuse', 'Sexual']",0.5,1.0,0.667
Macro-Avg,,,0.762,0.617,0.641
Micro-Avg,,,0.797,0.588,0.677
