Preview,TrueSet,PredSet,FP,FN,MaxPPL,MeanPPL_All,MeanPPL_YesOnly,PPL_ByLabel
People in careers meant to help people .... taking advantage My ex landlord told me he would rent to me because no one else would because my eviction was not 5 years old. He invited me over to the house to sign my lease …,"{'Mental Health', 'Abuse'}","{'Pregnancy', 'Abuse', 'Mental Health'}",['Pregnancy'],[],2.0000059642826797,1.2022099244834443,1.0037116559373018,"{'Medical': 1.0000003128163746, 'Mental Health': 1.0111109780889553, 'Abuse': 1.0000066306326245, 'Aggression': 1.000000432020081, 'Sexual': 2.0000059642826793, 'Discrimination': 1.6065354988590745, 'Pregnancy': 1.0000173590903254, 'Not Applicable': 1.0000022200774399}"
planning to go to the OB for the first time ever. what should I say? I am from the Philippines where abortion is illegal and now 25 days post MA from WOW. I want to go to the OB for the first time in my life for a consul…,"{'Medical', 'Pregnancy'}","{'Medical', 'Pregnancy', 'Discrimination'}",['Discrimination'],[],1.778806927194984,1.098286685087615,1.2618604444477406,"{'Medical': 1.778806927194984, 'Mental Health': 1.000710419277288, 'Abuse': 1.0000001936126681, 'Aggression': 1.000000432020081, 'Sexual': 1.0000003128163746, 'Discrimination': 1.006738569999715, 'Pregnancy': 1.000035836148523, 'Not Applicable': 1.0000007896312857}"
"Was I the victim or was she? I have severe doubts and I have guilt over the incident. Let me preface this by saying that I was a dumb, horny 15 year old. A dumb horny 15 year old who had no idea how alcohol worked.  This…","{'Sexual', 'Mental Health', 'Abuse'}",{'Mental Health'},[],"['Abuse', 'Sexual']",1.7788065030944145,1.103575720667977,1.00000818029165,"{'Medical': 1.0, 'Mental Health': 1.00000818029165, 'Abuse': 1.7788065030944145, 'Aggression': 1.0000001936126681, 'Sexual': 1.0497880426347233, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.0000003128163746, 'Not Applicable': 1.0000023392813167}"
"My step-mom's dog sexually harassed a social worker. This dog was so nosy, that I was in fucking shock when I saw the dog look up this lady's skirt!  This dog was also clawing at the legs of this lady, I mean WTF!!!!!!!!…",{'Abuse'},{'Not Applicable'},['Not Applicable'],['Abuse'],1.7788038524681458,1.0991337974257005,1.7788038524681458,"{'Medical': 1.0000003128163746, 'Mental Health': 1.0000001936126681, 'Abuse': 1.0000001936126681, 'Aggression': 1.0000001936126681, 'Sexual': 1.014264888446624, 'Discrimination': 1.0000003128163746, 'Pregnancy': 1.000000432020081, 'Not Applicable': 1.7788038524681458}"
Medicated miscarriage with miso not much bleeding Hello everyone so my husband and I found out our 7 week appointment that the baby’s heart stopped beating a few days after our 6 week appointment I was 9+3 at the time of…,"{'Pregnancy', 'Medical'}","{'Medical', 'Pregnancy', 'Mental Health'}",['Mental Health'],[],1.6065367915787938,1.075817640870116,1.2021797350892978,"{'Medical': 1.000001266446481, 'Mental Health': 1.6065367915787938, 'Abuse': 1.0000003128163746, 'Aggression': 1.0000006704275366, 'Sexual': 1.0000003128163746, 'Discrimination': 1.000000432020081, 'Pregnancy': 1.0000011472426182, 'Not Applicable': 1.0000001936126681}"
"Was I sexually harassed or assaulted or am I just overreacting? So these events occurred almost two years ago. We were both 15.  So I had a boyfriend for like two weeks and we went to homecoming together. At the dance, h…","{'Sexual', 'Abuse'}","{'Abuse', 'Mental Health'}",['Mental Health'],['Sexual'],1.606534493411123,1.0776061923618272,1.007134091484026,"{'Medical': 1.0000003128163746, 'Mental Health': 1.014266916521571, 'Abuse': 1.000001266446481, 'Aggression': 1.606534493411123, 'Sexual': 1.000045611249943, 'Discrimination': 1.0000001936126681, 'Pregnancy': 1.0000003128163746, 'Not Applicable': 1.000000432020081}"
"Was I sexually harassed? I apologize in advance if I'm just making a big deal out of nothing. I'm 13f now, this happened when I was 4-6 years old.  So, you know how parents have to help young children clean themselves in…","{'Sexual', 'Abuse'}","{'Aggression', 'Abuse'}",['Aggression'],['Sexual'],1.606533918869719,1.1116844626987177,1.3032675330561685,"{'Medical': 1.0000001936126681, 'Mental Health': 1.2865086221755775, 'Abuse': 1.0000011472426182, 'Aggression': 1.606533918869719, 'Sexual': 1.0004308812400347, 'Discrimination': 1.0000003128163746, 'Pregnancy': 1.0000003128163746, 'Not Applicable': 1.0000003128163746}"
"What is the legality of traveling for an abortion in TX For context my girlfriend is on birth control and still took a plan B the morning after, but were still both worried.   It was awful seeing her cry because being pr…","{'Pregnancy', 'Medical', 'Mental Health'}","{'Pregnancy', 'Discrimination', 'Mental Health'}",['Discrimination'],['Medical'],1.4723691035960107,1.0593812495478043,1.1578473705807684,"{'Medical': 1.0, 'Mental Health': 1.0011713840883674, 'Abuse': 1.001503608481102, 'Aggression': 1.0000001936126681, 'Sexual': 1.0000001936126681, 'Discrimination': 1.4723691035960107, 'Pregnancy': 1.000001624057927, 'Not Applicable': 1.0000038889336924}"
"Help, please. Me (29f) being harassed by coworker (59m) I don't know what to do anymore.  My coworker has always made me uncomfortable. He has told me about his sexcapades basically since I started working at my location…","{'Discrimination', 'Mental Health', 'Abuse'}","{'Abuse', 'Sexual', 'Discrimination', 'Mental Health'}",['Sexual'],[],1.3678842518907073,1.0609477650430992,1.1218883927640917,"{'Medical': 1.0000277300430114, 'Mental Health': 1.3678842518907073, 'Abuse': 1.000001266446481, 'Aggression': 1.0000001936126681, 'Sexual': 1.1054025710586888, 'Discrimination': 1.0142654816604881, 'Pregnancy': 1.000000432020081, 'Not Applicable': 1.0000001936126681}"
HcG I had a miscarriage about a little over a month ago. I was 5 weeks. My hcg level was at 60. It is now 49 a month later.   Is it supposed to go down so slow?   I also haven’t gotten a period since my miscarriage.,"{'Pregnancy', 'Medical'}","{'Medical', 'Pregnancy', 'Mental Health'}",['Mental Health'],[],1.367883762697265,1.0460277937731772,1.122740182565377,"{'Medical': 1.0003357569599831, 'Mental Health': 1.367883762697265, 'Abuse': 1.0000003128163746, 'Aggression': 1.000000432020081, 'Sexual': 1.000000432020081, 'Discrimination': 1.0000003128163746, 'Pregnancy': 1.0000010280388834, 'Not Applicable': 1.0000003128163746}"
