PostIndex,TrueLabels,PredictedLabels,Precision,Recall,F1
1,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
2,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
3,"['Medical', 'Mental Health', 'Pregnancy']","['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",0.75,1.0,0.857
4,"['Mental Health', 'Pregnancy']","['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",0.5,1.0,0.667
5,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
6,['Pregnancy'],['Pregnancy'],1.0,1.0,1.0
7,"['Abuse', 'Aggression', 'Mental Health', 'Pregnancy']","['Abuse', 'Aggression', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
8,['Medical'],['Not Applicable'],0.0,0.0,0.0
9,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
10,"['Abuse', 'Aggression', 'Mental Health', 'Pregnancy']","['Abuse', 'Aggression', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
11,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
12,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,0.667,0.8
13,"['Medical', 'Pregnancy', 'Sexual']",['Pregnancy'],1.0,0.333,0.5
14,"['Discrimination', 'Mental Health', 'Pregnancy']","['Discrimination', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
15,['Pregnancy'],['Pregnancy'],1.0,1.0,1.0
16,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
17,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
18,"['Medical', 'Pregnancy']","['Discrimination', 'Medical', 'Pregnancy']",0.667,1.0,0.8
19,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
20,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
21,"['Mental Health', 'Pregnancy']",['Pregnancy'],1.0,0.5,0.667
22,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
23,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
24,"['Discrimination', 'Mental Health', 'Pregnancy']","['Discrimination', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
25,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
26,"['Medical', 'Pregnancy', 'Sexual']","['Discrimination', 'Mental Health', 'Pregnancy', 'Sexual']",0.5,0.667,0.571
27,"['Medical', 'Pregnancy']",['Pregnancy'],1.0,0.5,0.667
28,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
29,"['Abuse', 'Mental Health', 'Pregnancy']","['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",0.5,0.667,0.571
30,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
31,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
32,['Pregnancy'],"['Discrimination', 'Mental Health', 'Pregnancy']",0.333,1.0,0.5
33,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
34,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
35,"['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,0.75,0.857
36,"['Mental Health', 'Pregnancy']","['Aggression', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
37,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
38,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
39,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
40,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
41,"['Medical', 'Pregnancy', 'Sexual']","['Medical', 'Mental Health', 'Pregnancy', 'Sexual']",0.75,1.0,0.857
42,"['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']","['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
43,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
44,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
45,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
46,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
47,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
48,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
49,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
50,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
51,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
52,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
53,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
54,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
55,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
56,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
57,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
58,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
59,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
60,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
61,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
62,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
63,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
64,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
65,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
66,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
67,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",1.0,1.0,1.0
68,"['Abuse', 'Mental Health']","['Abuse', 'Discrimination', 'Mental Health']",0.667,1.0,0.8
69,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
70,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
71,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Aggression', 'Mental Health']",0.667,0.667,0.667
72,"['Abuse', 'Mental Health']","['Abuse', 'Discrimination', 'Mental Health']",0.667,1.0,0.8
73,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
74,"['Abuse', 'Mental Health']","['Abuse', 'Discrimination', 'Mental Health']",0.667,1.0,0.8
75,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
76,"['Abuse', 'Mental Health']","['Abuse', 'Aggression', 'Mental Health']",0.667,1.0,0.8
77,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
78,"['Abuse', 'Aggression', 'Mental Health']","['Abuse', 'Aggression', 'Discrimination', 'Mental Health']",0.75,1.0,0.857
79,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
80,"['Abuse', 'Mental Health']",['Mental Health'],1.0,0.5,0.667
81,['Not Applicable'],['Not Applicable'],1.0,1.0,1.0
82,"['Abuse', 'Aggression', 'Mental Health']","['Abuse', 'Aggression', 'Mental Health']",1.0,1.0,1.0
