title,body,PredictedLabels,PPL_Abuse,PPL_Aggression,PPL_Sexual,PPL_Medical,PPL_Mental Health,PPL_Discrimination,PPL_Pregnancy,PPL_Not Applicable
There’s a nagging voice saying I should have pressed charges,[removed],"[""Not Applicable""]",1.0000001936126681,1.0,1.0000001936126681,1.0,1.0002037995569468,1.0011715034373039,1.0000001936126681,
My Story and my mission,"The MeToo Movement inspired me to start a blog about my survivor story. This particular entry is my first time telling the story from beginning to end. I’m proud of myself for being more open and can only hope I help other survivors feel less alone. 

https://thesurvivorsriot.com/2018/07/22/my-story/

","[""Abuse""]",1.7788048066931474,1.0000001936126681,1.000010206772706,1.0,1.0820868376103863,1.000000908835049,1.0000001936126681,
For those of you that had genetic testing done after a miscarriage,I’m curious if you were told the gender of your baby? Or were you only told about chromosomal abnormalities?,"[""Not Applicable""]",1.0,1.0000001936126681,1.0000007896312857,1.0001586168564363,1.0000750563275398,1.0,1.005248079213387,
When did your period return after a natural miscarriage and did you ovulate prior?,Also: were your cycles normal or longer or irregular prior to loss ??,"[""Not Applicable""]",1.0,1.0,1.000004961771569,1.0040873277313105,1.0000277300430114,1.0000005512238017,1.082086966605197,
how do I frame someone for rape???,"hi, I'm a feminist who needs to frame someone who I don't like for rape. how do I go about doing that? 

P.S the person is a straight white male.","[""Abuse""]",1.0142647665922269,1.0000001936126681,1.0000003128163746,1.0000001936126681,1.0000001936126681,1.0067382099620104,1.0000001936126681,
"Donald Trump just opened the door to his head of the FDA revoking the 2000 authorization of Mifepristone, banning medication abortion in all 50 states","Link to the moment from a press conference just now:

* https://x.com/KamalaHQ/status/1821628225174245869

Previously, FDA authorization of Mifepristone aka the abortion pill couldn't be rolled back due to the protections of Roe v. Wade. However, with Roe gone and thus abortion no longer protected nationally thanks to Trump's own Supreme Court appointees, Trump is now free to install zealots as heads of the Department of Health and Human Services **(HHS)** or the Food and Drug Administration **(FDA)** to go after stuff like this, since a lot of these remaining protections go through those types of agencies. He can do this as an alternative to having to muscle through a new nationwide abortion ban through Congress.","[""Not Applicable""]",1.0000011472426182,1.0000001936126681,1.0000001936126681,1.0000015048541353,1.0000010280388834,1.0000003128163746,1.0000003128163746,
Far right correlation?,"Is there a pattern between our narc parents and far right politics?

My nmom is currently watching and celebrating Trump's inauguration from the UK. She is British but she's a far right supporter and constantly consumes right-wing media all day long. I knew she was always a far right voter in the UK, but last year I came to the realisation that she would probably vote Trump if she was an American, which scares me. However, I hoped that *maybe* Trump might be too extreme for her. I've heard her watching clips of his rally speeches. Maybe she doesn't like him at all? Nope. I've just got my confirmation that she's a Trump fan and is watching the inauguration in full support.

I don't understand. My nmom has the persona of a rich, old, white man - except she isn't one. She is an immigrant. She isn't Christian either. She's a single mother and is fiercely independent with a successful career. She isn't stupid, but at the same time she *is* stupid and behaves like a child. She lacks intelligence and is completely emotionally immature.  
I've often described my nmom as a female Trump. She's impossible to have a conversation with and she is completely self-absorbed and self-centred. At some point I started treating communication with her as if I was dealing with Trump himself - basically like I'm communicating with a spoilt brat of a child who isn't capable of any emotional depth or empathy.  
I don't understand because my nmom should be a feminist on paper, being an independent career woman, but she *loathes* women. My nmom worships men though. She doesn't like other women but she has utmost admiration for rich, old, white men. She believes she is one of them. It really scares me that my own mom would theoretically vote for Trump if she could, which to me means she doesn't give a fuck about things like abortion rights and the fact that women are suffering and dying horrible deaths because of abortion bans. I've ended up ranting but I'm trying to make sense of the overlaps between narcissists and far-right/Trump supporters.","[""Not Applicable""]",1.0019310907020074,1.0,1.0,1.0,1.0007106578070235,1.0086533339458703,1.0000001936126681,
Feel wider after surgical abortion and now trickled a bit after sneezing (7+1-8 weeks),"I only had it three days ago. I think I was feeling slightly softer down there just before the abortion.
I gave birth over 2 years ago normal delivery so I don’t know if that’s a factor but I didn’t feel this wide after birth and I didn’t have incontinence problems.
I’m 27 in over three weeks. 
 Will I go back to normal or do I need pelvic floor surgery/exercise? Etc

* P.S I’ve never had an abortion before *","[""Not Applicable""]",1.0,1.0000001936126681,1.0001586168564363,1.000710419277288,1.000021650506543,1.0000001936126681,1.0142647665922269,
The way my patients mom died is the reason I’ll abort my child if it has disabilities.,"I'm F24 and I work home health and I was put with a brother and sister duo. We call our mentally handicapped DDOD. That's what they are. 

I had started working for them around the time that their mom died. They are in their 50s and they try to have sex with each other and have the whole time growing up so I really have to watch them. 

I never knew how their mom passed until recently. Turns out it was dead winter and it was snowing bad. Their mom got up to go to the bathroom and collapsed. She laid in the floor for 4 days. 

4 days these mindless people was walking pass her day in and day out. They never once tried to seek help. There was cameras in the home and they found out the son would sit by her and talk to her while she begged him to go get help. She ended up dying due to an heart attack on the 4th day. 

She was found due to her sister called a nearby friend and having him go check bc she hadn't heard from her. All 3 was cover in human waste and was in poor condition.  

The family had to go to court to give custody of them to a family memes and they refuse to let them go into an assisted living facility. This is the reason I'll never have kids with disabilities and will abort them if there's even a chance they will. ","[""Not Applicable""]",1.2231334539674865,1.1737805947705287,1.0009121177210758,1.0000001936126681,1.1054025710586888,1.778809365775221,1.0000131868988307,
Outing my perpetrators?,[removed],"[""Not Applicable""]",1.1737754700084184,1.0000003128163746,1.2865078936978342,1.0000001936126681,1.00043100047158,1.0000314254674827,1.0000001936126681,
