PostIndex,TrueLabels,PredictedLabels,Precision,Recall,F1
1,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
2,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
3,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
4,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
5,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
6,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
7,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
8,"['Medical', 'Pregnancy']","['Discrimination', 'Pregnancy']",0.5,0.5,0.5
9,"['Medical', 'Mental Health']","['Medical', 'Pregnancy']",0.5,0.5,0.5
10,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
11,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
12,"['Mental Health', 'Pregnancy']",['Pregnancy'],1.0,0.5,0.667
13,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
14,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
15,"['Medical', 'Mental Health']","['Medical', 'Mental Health', 'Pregnancy', 'Sexual']",0.5,1.0,0.667
16,"['Medical', 'Mental Health', 'Pregnancy']","['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",0.75,1.0,0.857
17,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
18,"['Medical', 'Mental Health', 'Pregnancy', 'Sexual']","['Pregnancy', 'Sexual']",1.0,0.5,0.667
19,"['Medical', 'Mental Health', 'Pregnancy']","['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",0.75,1.0,0.857
20,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,0.667,0.8
21,"['Medical', 'Mental Health', 'Pregnancy']","['Abuse', 'Mental Health', 'Pregnancy']",0.667,0.667,0.667
22,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
23,"['Abuse', 'Aggression', 'Mental Health', 'Pregnancy', 'Sexual']","['Abuse', 'Mental Health', 'Pregnancy']",1.0,0.6,0.75
24,"['Abuse', 'Mental Health', 'Pregnancy']","['Abuse', 'Discrimination', 'Mental Health', 'Pregnancy']",0.75,1.0,0.857
25,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
26,"['Medical', 'Pregnancy']",['Pregnancy'],1.0,0.5,0.667
27,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
28,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
29,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
30,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
31,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
32,"['Mental Health', 'Pregnancy', 'Sexual']","['Medical', 'Pregnancy', 'Sexual']",0.667,0.667,0.667
33,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
34,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
35,"['Mental Health', 'Pregnancy']",['Mental Health'],1.0,0.5,0.667
36,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
37,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
38,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
39,"['Medical', 'Mental Health', 'Pregnancy']","['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",0.75,1.0,0.857
40,"['Medical', 'Mental Health', 'Pregnancy']",['Pregnancy'],1.0,0.333,0.5
41,"['Mental Health', 'Pregnancy']","['Discrimination', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
42,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
43,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
44,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
45,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
46,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
47,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
48,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
49,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
50,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
51,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
52,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
53,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
54,"['Medical', 'Mental Health']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
55,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
56,"['Medical', 'Mental Health', 'Pregnancy']","['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",0.75,1.0,0.857
57,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
58,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
59,['Pregnancy'],"['Medical', 'Mental Health', 'Pregnancy']",0.333,1.0,0.5
60,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
61,"['Abuse', 'Mental Health', 'Pregnancy']","['Abuse', 'Aggression', 'Mental Health', 'Pregnancy']",0.75,1.0,0.857
62,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
63,"['Medical', 'Mental Health']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
64,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
65,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
66,"['Abuse', 'Medical', 'Mental Health', 'Pregnancy']","['Abuse', 'Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
67,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
68,['Medical'],"['Medical', 'Pregnancy']",0.5,1.0,0.667
69,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
70,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
71,"['Medical', 'Pregnancy']",['Pregnancy'],1.0,0.5,0.667
72,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
73,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
74,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
75,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
76,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
77,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
78,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
79,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
80,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
81,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
82,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
83,"['Medical', 'Mental Health', 'Pregnancy']","['Discrimination', 'Medical', 'Mental Health', 'Pregnancy']",0.75,1.0,0.857
84,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
85,"['Abuse', 'Mental Health', 'Sexual']","['Mental Health', 'Sexual']",1.0,0.667,0.8
86,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Sexual']",1.0,0.667,0.8
87,"['Abuse', 'Mental Health']","['Abuse', 'Discrimination', 'Mental Health', 'Sexual']",0.5,1.0,0.667
88,"['Abuse', 'Aggression', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,0.667,0.667
89,"['Mental Health', 'Sexual']","['Mental Health', 'Sexual']",1.0,1.0,1.0
90,['Abuse'],['Not Applicable'],0.0,0.0,0.0
91,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
92,['Abuse'],"['Abuse', 'Sexual']",0.5,1.0,0.667
93,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
94,"['Abuse', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
95,"['Abuse', 'Mental Health']",['Mental Health'],1.0,0.5,0.667
96,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
97,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
98,"['Abuse', 'Mental Health']","['Abuse', 'Discrimination', 'Mental Health', 'Pregnancy', 'Sexual']",0.4,1.0,0.571
99,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
100,['Sexual'],"['Abuse', 'Mental Health']",0.0,0.0,0.0
101,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Discrimination', 'Mental Health', 'Sexual']",0.75,1.0,0.857
102,['Not Applicable'],['Not Applicable'],1.0,1.0,1.0
103,['Not Applicable'],['Not Applicable'],1.0,1.0,1.0
104,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Discrimination', 'Mental Health']",0.667,0.667,0.667
105,['Abuse'],"['Abuse', 'Discrimination', 'Mental Health', 'Sexual']",0.25,1.0,0.4
106,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
107,"['Abuse', 'Discrimination', 'Mental Health']","['Abuse', 'Discrimination', 'Mental Health', 'Sexual']",0.75,1.0,0.857
108,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
109,"['Abuse', 'Mental Health', 'Sexual']","['Mental Health', 'Sexual']",1.0,0.667,0.8
110,['Discrimination'],['Discrimination'],1.0,1.0,1.0
111,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
112,[],"['Abuse', 'Mental Health', 'Sexual']",0.0,0.0,0.0
113,['Not Applicable'],['Not Applicable'],1.0,1.0,1.0
114,"['Abuse', 'Mental Health']","['Abuse', 'Discrimination', 'Mental Health', 'Sexual']",0.5,1.0,0.667
115,['Not Applicable'],"['Abuse', 'Mental Health']",0.0,0.0,0.0
