PostIndex,TrueLabels,PredictedLabels,Precision,Recall,F1
1,"['Medical', 'Pregnancy', 'Sexual']","['Medical', 'Mental Health']",0.5,0.333,0.4
2,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
3,"['Discrimination', 'Pregnancy']",['Medical'],0.0,0.0,0.0
4,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
5,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
6,"['Pregnancy', 'Sexual']","['Medical', 'Pregnancy']",0.5,0.5,0.5
7,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health']",0.5,0.5,0.5
8,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
9,"['Abuse', 'Discrimination', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,0.5,0.571
10,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
11,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
12,"['Medical', 'Pregnancy']","['Medical', 'Mental Health']",0.5,0.5,0.5
13,"['Abuse', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
14,['Pregnancy'],"['Medical', 'Pregnancy']",0.5,1.0,0.667
15,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
16,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
17,"['Medical', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",0.667,1.0,0.8
18,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
19,"['Mental Health', 'Pregnancy']","['Medical', 'Pregnancy']",0.5,0.5,0.5
20,['Pregnancy'],"['Medical', 'Pregnancy']",0.5,1.0,0.667
21,"['Mental Health', 'Pregnancy']","['Medical', 'Mental Health']",0.5,0.5,0.5
22,"['Medical', 'Pregnancy']","['Medical', 'Pregnancy']",1.0,1.0,1.0
23,"['Abuse', 'Pregnancy', 'Sexual']","['Abuse', 'Mental Health', 'Pregnancy']",0.667,0.667,0.667
24,"['Medical', 'Pregnancy', 'Sexual']","['Medical', 'Pregnancy', 'Sexual']",1.0,1.0,1.0
25,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
26,"['Medical', 'Pregnancy']",['Pregnancy'],1.0,0.5,0.667
27,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
28,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
29,"['Medical', 'Pregnancy']",['Mental Health'],0.0,0.0,0.0
30,"['Abuse', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
31,"['Discrimination', 'Mental Health', 'Pregnancy']",['Mental Health'],1.0,0.333,0.5
32,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
33,"['Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,1.0,1.0
34,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
35,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
36,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
37,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health', 'Pregnancy']",1.0,1.0,1.0
38,"['Abuse', 'Mental Health', 'Pregnancy']",['Mental Health'],1.0,0.333,0.5
39,"['Abuse', 'Medical', 'Mental Health', 'Pregnancy', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",1.0,0.6,0.75
40,"['Abuse', 'Mental Health', 'Pregnancy']","['Abuse', 'Mental Health']",1.0,0.667,0.8
41,"['Abuse', 'Mental Health', 'Pregnancy']","['Abuse', 'Mental Health']",1.0,0.667,0.8
42,"['Abuse', 'Mental Health', 'Pregnancy']",['Mental Health'],1.0,0.333,0.5
43,"['Abuse', 'Medical', 'Mental Health', 'Pregnancy', 'Sexual']","['Abuse', 'Mental Health']",1.0,0.4,0.571
44,"['Abuse', 'Mental Health', 'Pregnancy']",['Mental Health'],1.0,0.333,0.5
45,"['Medical', 'Mental Health', 'Pregnancy']","['Mental Health', 'Pregnancy']",1.0,0.667,0.8
46,['Not Applicable'],"['Abuse', 'Discrimination', 'Mental Health', 'Pregnancy']",0.0,0.0,0.0
47,"['Medical', 'Mental Health', 'Pregnancy']",['Not Applicable'],0.0,0.0,0.0
48,"['Medical', 'Mental Health', 'Pregnancy']","['Medical', 'Mental Health']",1.0,0.667,0.8
49,"['Medical', 'Pregnancy']",['Not Applicable'],0.0,0.0,0.0
50,['Not Applicable'],"['Medical', 'Mental Health']",0.0,0.0,0.0
51,"['Abuse', 'Mental Health']",['Not Applicable'],0.0,0.0,0.0
52,"['Abuse', 'Mental Health']","['Abuse', 'Aggression', 'Mental Health', 'Sexual']",0.5,1.0,0.667
53,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
54,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",1.0,1.0,1.0
55,"['Abuse', 'Aggression', 'Mental Health']","['Abuse', 'Mental Health']",1.0,0.667,0.8
56,"['Abuse', 'Mental Health']",['Sexual'],0.0,0.0,0.0
57,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health']",1.0,0.667,0.8
58,"['Abuse', 'Discrimination', 'Mental Health']",['Not Applicable'],0.0,0.0,0.0
59,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",1.0,1.0,1.0
60,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
61,"['Abuse', 'Discrimination', 'Mental Health']",['Mental Health'],1.0,0.333,0.5
62,"['Abuse', 'Aggression', 'Discrimination', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",1.0,0.6,0.75
63,['Mental Health'],['Mental Health'],1.0,1.0,1.0
64,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
65,['Mental Health'],"['Abuse', 'Mental Health', 'Sexual']",0.333,1.0,0.5
66,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
67,"['Abuse', 'Aggression', 'Discrimination', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,0.5,0.571
68,"['Abuse', 'Mental Health', 'Sexual']",['Mental Health'],1.0,0.333,0.5
69,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
70,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
71,"['Abuse', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",0.667,1.0,0.8
72,"['Abuse', 'Mental Health']","['Abuse', 'Mental Health']",1.0,1.0,1.0
73,"['Abuse', 'Mental Health', 'Sexual']","['Abuse', 'Mental Health', 'Sexual']",1.0,1.0,1.0
74,"['Abuse', 'Discrimination', 'Mental Health']","['Abuse', 'Discrimination', 'Mental Health', 'Sexual']",0.75,1.0,0.857
75,['Abuse'],"['Abuse', 'Mental Health', 'Sexual']",0.333,1.0,0.5
Macro-Avg,,,0.737,0.692,0.679
Micro-Avg,,,0.75,0.674,0.71
